fg,3p,ft,reb,ast,stl,blk,tov,target_5yrs,total_points,efficiency
34.7,25.0,69.9,4.1,1.9,0.4,0.4,1.3,0,266.40000000000003,0.27007299270073
29.6,23.5,76.5,2.4,3.7,1.1,0.5,1.6,0,252.0,0.26765799256505574
42.2,24.4,67.0,2.2,1.0,0.5,0.3,1.0,0,384.8,0.33986928104575165
42.6,22.6,68.9,1.9,0.8,0.6,0.1,1.0,1,330.6,0.4913793103448277
52.4,0.0,67.4,2.5,0.3,0.3,0.4,0.8,1,216.0,0.391304347826087
42.3,32.5,73.2,0.8,1.8,0.4,0.0,0.7,0,277.5,0.32456140350877194
43.5,50.0,81.1,2.0,0.6,0.2,0.1,0.7,1,409.2,0.6055045871559632
41.5,30.0,87.5,1.7,0.2,0.2,0.1,0.7,1,273.6,0.5533980582524272
39.2,23.3,71.4,0.8,2.3,0.3,0.0,1.1,0,156.0,0.24242424242424243
38.3,21.4,67.8,1.1,0.3,0.2,0.0,0.7,0,155.4,0.43529411764705883
36.5,33.3,81.8,0.9,0.7,0.1,0.1,0.3,0,80.5,0.3333333333333333
39.8,13.6,77.6,1.2,0.4,0.3,0.1,0.6,1,144.0,0.5373134328358209
47.2,0.0,28.6,2.0,0.2,0.2,0.6,0.3,1,35.1,0.196969696969697
32.3,30.1,86.1,2.0,0.5,0.5,0.3,0.5,0,251.99999999999997,0.3660130718954248
53.7,0.0,50.0,1.4,0.2,0.2,0.4,0.6,1,105.6,0.37499999999999994
51.4,14.3,68.4,0.4,1.4,0.3,0.0,0.8,1,104.0,0.4262295081967213
37.6,0.0,64.2,1.2,0.2,0.3,0.2,0.5,0,102.9,0.39622641509433965
34.8,21.4,73.1,0.3,1.0,0.3,0.0,0.4,0,69.7,0.4047619047619047
49.0,22.7,82.9,11.0,3.6,1.0,0.6,1.9,0,1574.3999999999999,0.5161290322580645
49.0,22.7,82.9,11.0,3.6,1.0,0.6,1.9,1,1574.3999999999999,0.5161290322580645
52.5,11.1,65.4,8.0,2.4,1.1,0.8,2.2,1,1144.0,0.4554140127388535
48.9,16.7,66.6,5.1,2.5,1.5,0.3,2.2,1,1090.6000000000001,0.4360655737704919
37.5,13.3,73.0,2.9,2.2,2.0,0.2,2.0,1,805.6,0.3498349834983498
45.4,32.0,74.8,3.1,4.6,1.0,0.3,2.5,0,732.0,0.4054054054054054
53.3,0.0,62.5,5.2,0.4,0.5,0.5,1.0,0,201.6,0.4144736842105263
51.4,0.0,80.7,5.9,1.6,0.7,0.6,1.5,1,790.4,0.3549488054607508
45.1,43.4,83.6,1.9,3.7,0.6,0.0,1.8,0,483.6,0.3780487804878049
41.5,0.0,73.6,5.1,1.7,0.8,0.5,1.3,1,668.8000000000001,0.39111111111111113
44.7,39.0,74.1,3.0,2.2,1.2,0.3,1.2,0,787.8,0.45909090909090905
49.7,0.0,66.7,5.4,0.8,0.5,0.5,1.5,1,428.40000000000003,0.4057971014492754
55.2,0.0,57.2,6.4,0.5,0.4,1.2,0.8,1,396.8,0.3054187192118227
52.9,0.0,51.5,6.1,0.7,0.4,1.5,1.4,1,572.0,0.5123152709359606
41.9,4.3,80.6,2.0,3.9,1.0,0.3,1.7,1,606.8000000000001,0.3775510204081633
52.8,0.0,66.9,5.7,0.7,0.8,1.1,1.8,1,436.79999999999995,0.48148148148148145
30.2,18.5,91.2,1.4,3.1,0.6,0.2,1.0,0,146.2,0.3208955223880597
40.0,35.7,83.3,2.0,1.1,0.8,0.1,1.1,1,357.0,0.45698924731182794
37.0,14.5,74.1,1.7,3.8,0.7,0.1,1.2,1,451.0,0.29891304347826086
39.0,23.1,74.5,2.0,3.2,1.1,0.1,1.5,1,448.0,0.4117647058823529
52.9,0.0,69.1,4.2,0.4,0.6,0.8,1.1,1,592.0,0.4378698224852071
46.7,21.4,81.0,3.8,0.4,0.3,0.6,0.9,1,431.2,0.37086092715231783
41.7,37.5,76.1,1.5,1.5,0.7,0.2,0.8,0,225.49999999999997,0.2751677852348993
40.7,9.5,80.4,1.7,2.1,0.9,0.0,1.3,0,244.79999999999998,0.3445945945945945
39.9,27.0,87.5,1.5,2.8,0.9,0.0,1.4,0,255.0,0.3448275862068966
40.2,36.7,76.9,2.1,0.8,0.3,0.2,0.7,0,198.9,0.29545454545454547
42.3,0.0,80.3,1.3,1.9,0.6,0.1,1.3,1,331.2,0.3709677419354838
45.2,100.0,82.1,2.7,0.6,0.5,0.3,0.6,1,248.4,0.30508474576271183
56.8,0.0,66.1,3.4,0.3,0.6,0.7,0.8,1,307.8,0.504424778761062
30.3,36.6,66.7,0.7,1.5,0.7,0.1,1.3,0,98.39999999999999,0.3867924528301887
41.5,19.2,75.4,1.1,1.8,0.6,0.1,1.0,1,204.99999999999997,0.42708333333333326
45.6,0.0,65.5,1.2,1.1,0.6,0.2,0.8,1,190.4,0.3541666666666667
38.8,29.2,75.6,0.7,1.4,0.4,0.1,1.0,0,247.9,0.4111111111111111
38.0,14.3,65.9,0.8,1.6,0.7,0.1,1.0,1,125.0,0.2873563218390805
47.5,0.0,75.0,1.5,0.3,0.2,0.2,0.6,1,121.50000000000001,0.31764705882352945
36.8,22.2,82.6,0.9,0.7,0.3,0.1,0.6,0,129.2,0.41463414634146345
43.9,0.0,52.5,1.9,0.3,0.1,0.1,0.8,0,117.6,0.34146341463414637
45.6,18.8,74.4,1.3,0.6,0.2,0.1,0.5,0,172.8,0.39024390243902446
39.2,20.0,53.6,1.2,0.6,0.4,0.2,0.8,0,140.0,0.547945205479452
44.3,18.2,81.0,1.1,0.3,0.2,0.1,0.5,0,103.6,0.3835616438356165
43.1,27.0,52.6,0.8,0.5,0.2,0.0,0.3,0,119.60000000000001,0.3880597014925374
38.4,43.3,83.3,0.8,0.3,0.1,0.0,0.3,0,112.2,0.34375
38.0,0.0,75.6,1.2,0.3,0.1,0.1,0.5,0,88.0,0.41509433962264153
37.8,0.0,37.5,1.0,0.4,0.3,0.2,0.3,0,30.400000000000002,0.33333333333333337
35.3,11.8,66.7,0.6,0.6,0.1,0.0,0.5,0,46.800000000000004,0.3023255813953489
42.2,27.3,73.6,8.8,4.0,1.4,1.1,2.9,1,1422.0,0.47745358090185674
30.4,20.4,74.5,1.2,0.5,0.7,0.1,0.7,0,187.0,0.2595419847328244
46.7,34.2,73.1,10.3,2.2,1.0,1.3,2.9,1,1361.6,0.5227272727272727
40.6,36.5,77.0,2.8,4.0,1.3,0.2,2.5,0,915.2,0.42686567164179107
42.5,37.4,75.0,2.9,1.6,0.8,0.3,1.6,1,1287.3999999999999,0.5508771929824561
45.0,7.7,71.1,3.0,6.4,2.0,0.2,2.2,1,590.4,0.26277372262773724
51.2,0.0,72.2,7.9,0.3,0.6,1.5,0.9,1,575.1,0.27413127413127414
44.1,13.3,78.2,3.4,1.4,0.9,0.3,1.9,1,912.0,0.4724409448818898
46.4,20.6,87.3,2.2,4.2,1.0,0.2,1.7,0,713.4,0.3670886075949367
46.4,20.6,87.3,2.2,4.2,1.0,0.2,1.7,1,713.4,0.3670886075949367
32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,0,93.1,0.20652173913043478
32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,1,93.1,0.20652173913043478
45.0,14.3,83.5,3.2,3.7,1.3,0.5,2.0,1,902.0,0.46413502109704646
50.8,0.0,63.6,5.1,0.9,0.6,1.9,1.3,1,524.4,0.3053097345132743
41.3,24.0,85.7,1.8,3.1,0.8,0.1,1.6,1,944.6999999999999,0.6266666666666666
43.9,9.7,70.7,2.1,2.5,0.4,0.2,1.6,0,616.0,0.42718446601941745
42.8,29.9,81.6,3.5,1.8,0.5,0.3,1.5,1,696.6,0.41951219512195126
49.7,40.0,84.3,3.3,1.4,0.6,0.3,0.9,1,237.6,0.3692307692307692
41.7,0.0,55.0,5.6,0.4,0.6,1.2,0.9,0,307.4,0.27461139896373055
41.9,25.0,79.6,1.7,1.3,0.3,0.1,1.0,0,504.0,0.4260355029585799
41.2,17.6,74.7,1.9,2.8,0.8,0.1,1.2,1,401.8,0.296969696969697
38.0,29.2,77.3,1.9,1.2,0.5,0.1,1.2,0,427.8,0.42592592592592593
42.5,0.0,67.2,4.3,0.4,0.2,0.3,1.4,0,483.6,0.3850931677018633
48.7,0.0,66.2,4.8,0.5,0.3,0.3,0.7,1,401.5,0.34161490683229806
49.2,0.0,63.2,5.2,0.3,0.5,0.4,1.0,1,392.2,0.3291925465838509
42.1,29.8,63.0,2.9,0.8,0.6,0.3,0.9,0,509.2,0.43506493506493504
46.5,0.0,71.2,4.2,0.6,0.6,0.5,0.8,1,313.5,0.3825503355704698
44.6,18.2,58.8,1.5,2.8,0.7,0.2,1.6,0,263.2,0.39160839160839156
44.1,40.0,72.2,2.1,0.9,0.4,0.1,1.0,1,299.7,0.5955882352941176
46.5,0.0,64.4,2.7,0.6,0.2,0.2,1.0,0,266.59999999999997,0.32330827067669166
38.4,16.1,80.5,1.0,1.3,0.5,0.1,0.9,0,241.79999999999998,0.312
43.8,11.8,68.4,2.0,0.8,0.6,0.2,0.8,0,351.90000000000003,0.5798319327731093
41.3,0.0,55.6,1.4,1.0,0.4,0.0,0.8,1,140.4,0.3305084745762712
41.6,25.0,65.2,1.9,0.7,0.5,0.2,0.3,1,229.4,0.26724137931034486
48.7,16.7,66.3,2.4,0.6,0.3,0.1,1.1,1,516.5999999999999,0.7068965517241379
34.8,27.3,64.3,2.2,0.8,0.5,0.2,0.3,0,72.60000000000001,0.20370370370370372
46.0,0.0,68.9,2.8,0.7,0.2,0.4,0.8,1,237.60000000000002,0.3928571428571429
40.8,27.8,73.2,1.1,1.2,0.5,0.1,0.7,0,277.4,0.3454545454545454
40.4,0.0,66.7,3.0,0.2,0.3,0.3,0.7,0,54.0,0.3302752293577982
44.1,0.0,70.2,1.1,2.1,0.4,0.2,1.1,1,236.8,0.3394495412844037
41.5,0.0,80.0,0.8,1.9,0.5,0.1,0.8,0,190.4,0.32075471698113206
39.1,0.0,69.6,1.2,1.0,0.3,0.1,0.8,0,204.8,0.30188679245283023
41.8,33.3,90.5,0.8,1.9,0.5,0.0,0.6,1,210.8,0.306930693069307
40.3,37.5,75.8,1.4,0.7,0.3,0.0,0.5,0,136.29999999999998,0.29
44.7,50.0,66.1,2.1,0.3,0.2,0.1,0.8,1,182.0,0.35714285714285715
40.0,40.0,77.8,1.0,0.4,0.3,0.2,0.5,0,236.8,0.38947368421052636
36.7,0.0,44.4,1.9,0.5,0.1,0.1,0.7,0,98.6,0.2685185185185185
43.9,0.0,55.0,2.9,0.4,0.1,0.7,0.8,1,159.6,0.39999999999999997
45.8,15.8,84.8,1.3,0.7,0.2,0.0,1.0,1,225.0,0.48387096774193544
